<dummyMainClass: void dummyMainMethod(java.lang.String[])> -> <dummyMainClass: com.example.notificationtest.MyNotification dummyMainMethod_com_example_notificationtest_MyNotification(android.content.Intent)>
<androidx.appcompat.app.AppCompatDelegate: void <clinit>()> -> <java.lang.Object: void <init>()>
<androidx.appcompat.app.AppCompatDelegate: void <clinit>()> -> <java.lang.Object: void <init>()>
<androidx.appcompat.app.AppCompatDelegate: void <clinit>()> -> <androidx.collection.ArraySet: void <init>()>
<androidx.collection.ArraySet: void <init>()> -> <androidx.collection.ArraySet: void <init>(int)>
<androidx.collection.ArraySet: void <init>(int)> -> <androidx.collection.ArraySet: void <clinit>()>
<androidx.collection.ArraySet: void <init>(int)> -> <java.lang.Object: void <init>()>
<androidx.collection.ArraySet: void <init>(int)> -> <androidx.collection.ArraySet: void allocArrays(int)>
<androidx.collection.ArraySet: void allocArrays(int)> -> <androidx.collection.ArraySet: void <clinit>()>
<androidx.collection.ArraySet: void allocArrays(int)> -> <androidx.collection.ArraySet: void <clinit>()>
<androidx.appcompat.app.AppCompatDelegate: void <clinit>()> -> <androidx.appcompat.app.AppLocalesStorageHelper$ThreadPerTaskExecutor: void <init>()>
<androidx.appcompat.app.AppLocalesStorageHelper$ThreadPerTaskExecutor: void <init>()> -> <java.lang.Object: void <init>()>
<androidx.appcompat.app.AppCompatDelegate: void <clinit>()> -> <androidx.appcompat.app.AppLocalesStorageHelper$SerialExecutor: void <init>(java.util.concurrent.Executor)>
<androidx.appcompat.app.AppLocalesStorageHelper$SerialExecutor: void <init>(java.util.concurrent.Executor)> -> <java.lang.Object: void <init>()>
<androidx.fragment.app.Fragment: void <clinit>()> -> <java.lang.Object: void <init>()>
<androidx.lifecycle.ReportFragment$LifecycleCallbacks: void <clinit>()> -> <androidx.lifecycle.ReportFragment$LifecycleCallbacks$Companion: void <init>(kotlin.jvm.internal.DefaultConstructorMarker)>
<androidx.lifecycle.ReportFragment$LifecycleCallbacks$Companion: void <init>(kotlin.jvm.internal.DefaultConstructorMarker)> -> <androidx.lifecycle.ReportFragment$LifecycleCallbacks$Companion: void <init>()>
<androidx.lifecycle.ReportFragment$LifecycleCallbacks$Companion: void <init>()> -> <java.lang.Object: void <init>()>
<androidx.appcompat.app.AppCompatDelegateImpl: void <clinit>()> -> <java.lang.String: boolean equals(java.lang.Object)>
<java.lang.String: boolean equals(java.lang.Object)> -> <java.lang.RuntimeException: void <init>(java.lang.String)>
<dummyMainClass: androidx.startup.InitializationProvider dummyMainMethod_androidx_startup_InitializationProvider(android.content.Intent)> -> <androidx.startup.InitializationProvider: void <init>()>
<dummyMainClass: androidx.startup.InitializationProvider dummyMainMethod_androidx_startup_InitializationProvider(android.content.Intent)> -> <androidx.startup.InitializationProvider: int delete(android.net.Uri,java.lang.String,java.lang.String[])>
<dummyMainClass: androidx.startup.InitializationProvider dummyMainMethod_androidx_startup_InitializationProvider(android.content.Intent)> -> <androidx.startup.InitializationProvider: java.lang.String getType(android.net.Uri)>
<dummyMainClass: androidx.startup.InitializationProvider dummyMainMethod_androidx_startup_InitializationProvider(android.content.Intent)> -> <androidx.startup.InitializationProvider: android.net.Uri insert(android.net.Uri,android.content.ContentValues)>
<dummyMainClass: androidx.startup.InitializationProvider dummyMainMethod_androidx_startup_InitializationProvider(android.content.Intent)> -> <androidx.startup.InitializationProvider: android.database.Cursor query(android.net.Uri,java.lang.String[],java.lang.String,java.lang.String[],java.lang.String)>
<dummyMainClass: androidx.startup.InitializationProvider dummyMainMethod_androidx_startup_InitializationProvider(android.content.Intent)> -> <androidx.startup.InitializationProvider: int update(android.net.Uri,android.content.ContentValues,java.lang.String,java.lang.String[])>
<dummyMainClass: com.example.notificationtest.MainActivity dummyMainMethod_com_example_notificationtest_MainActivity(android.content.Intent)> -> <androidx.core.view.ViewPropertyAnimatorCompat$$ExternalSyntheticLambda0: void <init>(androidx.core.view.ViewPropertyAnimatorUpdateListener,android.view.View)>
<dummyMainClass: com.example.notificationtest.MainActivity dummyMainMethod_com_example_notificationtest_MainActivity(android.content.Intent)> -> <androidx.core.view.ViewPropertyAnimatorCompat$$ExternalSyntheticLambda0: void onAnimationUpdate(android.animation.ValueAnimator)>
<androidx.core.view.ViewPropertyAnimatorCompat$$ExternalSyntheticLambda0: void onAnimationUpdate(android.animation.ValueAnimator)> -> <androidx.core.view.ViewPropertyAnimatorCompat: void lambda$setUpdateListener$0(androidx.core.view.ViewPropertyAnimatorUpdateListener,android.view.View,android.animation.ValueAnimator)>
<androidx.core.view.ViewPropertyAnimatorCompat$$ExternalSyntheticLambda0: void <init>(androidx.core.view.ViewPropertyAnimatorUpdateListener,android.view.View)> -> <java.lang.Object: void <init>()>
<dummyMainClass: com.example.notificationtest.MainActivity dummyMainMethod_com_example_notificationtest_MainActivity(android.content.Intent)> -> <androidx.fragment.app.FragmentTransitionCompat21$4: void <init>(androidx.fragment.app.FragmentTransitionCompat21,java.lang.Runnable)>
<dummyMainClass: com.example.notificationtest.MainActivity dummyMainMethod_com_example_notificationtest_MainActivity(android.content.Intent)> -> <androidx.fragment.app.FragmentTransitionCompat21$4: void onTransitionEnd(android.transition.Transition)>
<androidx.fragment.app.FragmentTransitionCompat21$4: void <init>(androidx.fragment.app.FragmentTransitionCompat21,java.lang.Runnable)> -> <java.lang.Object: void <init>()>
<dummyMainClass: com.example.notificationtest.MainActivity dummyMainMethod_com_example_notificationtest_MainActivity(android.content.Intent)> -> <androidx.fragment.app.FragmentTransitionCompat21: void <init>()>
<androidx.fragment.app.FragmentTransitionCompat21: void <init>()> -> <androidx.fragment.app.FragmentTransitionImpl: void <init>()>
<androidx.fragment.app.FragmentTransitionImpl: void <init>()> -> <java.lang.Object: void <init>()>
<dummyMainClass: com.example.notificationtest.MainActivity dummyMainMethod_com_example_notificationtest_MainActivity(android.content.Intent)> -> <androidx.appcompat.view.menu.ListMenuPresenter: void <init>(android.content.Context,int)>
<dummyMainClass: com.example.notificationtest.MainActivity dummyMainMethod_com_example_notificationtest_MainActivity(android.content.Intent)> -> <androidx.appcompat.view.menu.ListMenuPresenter: void onItemClick(android.widget.AdapterView,android.view.View,int,long)>
<androidx.appcompat.view.menu.ListMenuPresenter: void <init>(android.content.Context,int)> -> <androidx.appcompat.view.menu.ListMenuPresenter: void <init>(int,int)>
<androidx.appcompat.view.menu.ListMenuPresenter: void <init>(int,int)> -> <java.lang.Object: void <init>()>
<dummyMainClass: com.example.notificationtest.MainActivity dummyMainMethod_com_example_notificationtest_MainActivity(android.content.Intent)> -> <androidx.lifecycle.ReportFragment$LifecycleCallbacks: void <init>()>
<dummyMainClass: com.example.notificationtest.MainActivity dummyMainMethod_com_example_notificationtest_MainActivity(android.content.Intent)> -> <androidx.lifecycle.ReportFragment$LifecycleCallbacks: void onActivityStopped(android.app.Activity)>
<dummyMainClass: com.example.notificationtest.MainActivity dummyMainMethod_com_example_notificationtest_MainActivity(android.content.Intent)> -> <androidx.lifecycle.ReportFragment$LifecycleCallbacks: void onActivityPaused(android.app.Activity)>
<dummyMainClass: com.example.notificationtest.MainActivity dummyMainMethod_com_example_notificationtest_MainActivity(android.content.Intent)> -> <androidx.lifecycle.ReportFragment$LifecycleCallbacks: void onActivitySaveInstanceState(android.app.Activity,android.os.Bundle)>
<dummyMainClass: com.example.notificationtest.MainActivity dummyMainMethod_com_example_notificationtest_MainActivity(android.content.Intent)> -> <androidx.lifecycle.ReportFragment$LifecycleCallbacks: void onActivityPreStopped(android.app.Activity)>
<dummyMainClass: com.example.notificationtest.MainActivity dummyMainMethod_com_example_notificationtest_MainActivity(android.content.Intent)> -> <androidx.lifecycle.ReportFragment$LifecycleCallbacks: void onActivityPreDestroyed(android.app.Activity)>
<dummyMainClass: com.example.notificationtest.MainActivity dummyMainMethod_com_example_notificationtest_MainActivity(android.content.Intent)> -> <androidx.lifecycle.ReportFragment$LifecycleCallbacks: void onActivityDestroyed(android.app.Activity)>
<dummyMainClass: com.example.notificationtest.MainActivity dummyMainMethod_com_example_notificationtest_MainActivity(android.content.Intent)> -> <androidx.lifecycle.ReportFragment$LifecycleCallbacks: void onActivityPostCreated(android.app.Activity,android.os.Bundle)>
<dummyMainClass: com.example.notificationtest.MainActivity dummyMainMethod_com_example_notificationtest_MainActivity(android.content.Intent)> -> <androidx.lifecycle.ReportFragment$LifecycleCallbacks: void onActivityResumed(android.app.Activity)>
<dummyMainClass: com.example.notificationtest.MainActivity dummyMainMethod_com_example_notificationtest_MainActivity(android.content.Intent)> -> <androidx.lifecycle.ReportFragment$LifecycleCallbacks: void onActivityStarted(android.app.Activity)>
<dummyMainClass: com.example.notificationtest.MainActivity dummyMainMethod_com_example_notificationtest_MainActivity(android.content.Intent)> -> <androidx.lifecycle.ReportFragment$LifecycleCallbacks: void onActivityPostStarted(android.app.Activity)>
<dummyMainClass: com.example.notificationtest.MainActivity dummyMainMethod_com_example_notificationtest_MainActivity(android.content.Intent)> -> <androidx.lifecycle.ReportFragment$LifecycleCallbacks: void onActivityPrePaused(android.app.Activity)>
<dummyMainClass: com.example.notificationtest.MainActivity dummyMainMethod_com_example_notificationtest_MainActivity(android.content.Intent)> -> <androidx.lifecycle.ReportFragment$LifecycleCallbacks: void onActivityPostResumed(android.app.Activity)>
<dummyMainClass: com.example.notificationtest.MainActivity dummyMainMethod_com_example_notificationtest_MainActivity(android.content.Intent)> -> <androidx.lifecycle.ReportFragment$LifecycleCallbacks: void onActivityCreated(android.app.Activity,android.os.Bundle)>
<androidx.lifecycle.ReportFragment$LifecycleCallbacks: void onActivityStopped(android.app.Activity)> -> <kotlin.jvm.internal.Intrinsics: void checkNotNullParameter(java.lang.Object,java.lang.String)>
<androidx.lifecycle.ReportFragment$LifecycleCallbacks: void onActivityPaused(android.app.Activity)> -> <kotlin.jvm.internal.Intrinsics: void checkNotNullParameter(java.lang.Object,java.lang.String)>
<androidx.lifecycle.ReportFragment$LifecycleCallbacks: void onActivitySaveInstanceState(android.app.Activity,android.os.Bundle)> -> <kotlin.jvm.internal.Intrinsics: void checkNotNullParameter(java.lang.Object,java.lang.String)>
<androidx.lifecycle.ReportFragment$LifecycleCallbacks: void onActivityPreStopped(android.app.Activity)> -> <androidx.lifecycle.ReportFragment: void <clinit>()>
<androidx.lifecycle.ReportFragment$LifecycleCallbacks: void onActivityPreStopped(android.app.Activity)> -> <kotlin.jvm.internal.Intrinsics: void checkNotNullParameter(java.lang.Object,java.lang.String)>
<androidx.lifecycle.ReportFragment$LifecycleCallbacks: void onActivityPreStopped(android.app.Activity)> -> <androidx.lifecycle.Lifecycle$Event: void <clinit>()>
<androidx.lifecycle.ReportFragment$LifecycleCallbacks: void onActivityPreDestroyed(android.app.Activity)> -> <androidx.lifecycle.ReportFragment: void <clinit>()>
<androidx.lifecycle.ReportFragment$LifecycleCallbacks: void onActivityPreDestroyed(android.app.Activity)> -> <kotlin.jvm.internal.Intrinsics: void checkNotNullParameter(java.lang.Object,java.lang.String)>
<androidx.lifecycle.ReportFragment$LifecycleCallbacks: void onActivityPreDestroyed(android.app.Activity)> -> <androidx.lifecycle.Lifecycle$Event: void <clinit>()>
<androidx.lifecycle.ReportFragment$LifecycleCallbacks: void onActivityDestroyed(android.app.Activity)> -> <kotlin.jvm.internal.Intrinsics: void checkNotNullParameter(java.lang.Object,java.lang.String)>
<androidx.lifecycle.ReportFragment$LifecycleCallbacks: void onActivityPostCreated(android.app.Activity,android.os.Bundle)> -> <androidx.lifecycle.ReportFragment: void <clinit>()>
<androidx.lifecycle.ReportFragment$LifecycleCallbacks: void onActivityPostCreated(android.app.Activity,android.os.Bundle)> -> <kotlin.jvm.internal.Intrinsics: void checkNotNullParameter(java.lang.Object,java.lang.String)>
<androidx.lifecycle.ReportFragment$LifecycleCallbacks: void onActivityPostCreated(android.app.Activity,android.os.Bundle)> -> <androidx.lifecycle.Lifecycle$Event: void <clinit>()>
<androidx.lifecycle.ReportFragment$LifecycleCallbacks: void onActivityResumed(android.app.Activity)> -> <kotlin.jvm.internal.Intrinsics: void checkNotNullParameter(java.lang.Object,java.lang.String)>
<androidx.lifecycle.ReportFragment$LifecycleCallbacks: void onActivityStarted(android.app.Activity)> -> <kotlin.jvm.internal.Intrinsics: void checkNotNullParameter(java.lang.Object,java.lang.String)>
<androidx.lifecycle.ReportFragment$LifecycleCallbacks: void onActivityPostStarted(android.app.Activity)> -> <androidx.lifecycle.ReportFragment: void <clinit>()>
<androidx.lifecycle.ReportFragment$LifecycleCallbacks: void onActivityPostStarted(android.app.Activity)> -> <kotlin.jvm.internal.Intrinsics: void checkNotNullParameter(java.lang.Object,java.lang.String)>
<androidx.lifecycle.ReportFragment$LifecycleCallbacks: void onActivityPostStarted(android.app.Activity)> -> <androidx.lifecycle.Lifecycle$Event: void <clinit>()>
<androidx.lifecycle.ReportFragment$LifecycleCallbacks: void onActivityPrePaused(android.app.Activity)> -> <androidx.lifecycle.ReportFragment: void <clinit>()>
<androidx.lifecycle.ReportFragment$LifecycleCallbacks: void onActivityPrePaused(android.app.Activity)> -> <kotlin.jvm.internal.Intrinsics: void checkNotNullParameter(java.lang.Object,java.lang.String)>
<androidx.lifecycle.ReportFragment$LifecycleCallbacks: void onActivityPrePaused(android.app.Activity)> -> <androidx.lifecycle.Lifecycle$Event: void <clinit>()>
<androidx.lifecycle.ReportFragment$LifecycleCallbacks: void onActivityPostResumed(android.app.Activity)> -> <androidx.lifecycle.ReportFragment: void <clinit>()>
<androidx.lifecycle.ReportFragment$LifecycleCallbacks: void onActivityPostResumed(android.app.Activity)> -> <kotlin.jvm.internal.Intrinsics: void checkNotNullParameter(java.lang.Object,java.lang.String)>
<androidx.lifecycle.ReportFragment$LifecycleCallbacks: void onActivityPostResumed(android.app.Activity)> -> <androidx.lifecycle.Lifecycle$Event: void <clinit>()>
<androidx.lifecycle.ReportFragment$LifecycleCallbacks: void onActivityCreated(android.app.Activity,android.os.Bundle)> -> <kotlin.jvm.internal.Intrinsics: void checkNotNullParameter(java.lang.Object,java.lang.String)>
<kotlin.jvm.internal.Intrinsics: void checkNotNullParameter(java.lang.Object,java.lang.String)> -> <kotlin.jvm.internal.Intrinsics: void throwParameterIsNullNPE(java.lang.String)>
<androidx.lifecycle.Lifecycle$Event: void <clinit>()> -> <androidx.lifecycle.Lifecycle$Event: androidx.lifecycle.Lifecycle$Event[] $values()>
<kotlin.jvm.internal.Intrinsics: void throwParameterIsNullNPE(java.lang.String)> -> <kotlin.jvm.internal.Intrinsics: java.lang.String createParameterIsNullExceptionMessage(java.lang.String)>
<kotlin.jvm.internal.Intrinsics: void throwParameterIsNullNPE(java.lang.String)> -> <kotlin.jvm.internal.Intrinsics: java.lang.Throwable sanitizeStackTrace(java.lang.Throwable)>
<kotlin.jvm.internal.Intrinsics: java.lang.Throwable sanitizeStackTrace(java.lang.Throwable)> -> <kotlin.jvm.internal.Intrinsics: java.lang.Throwable sanitizeStackTrace(java.lang.Throwable,java.lang.String)>
<kotlin.jvm.internal.Intrinsics: java.lang.String createParameterIsNullExceptionMessage(java.lang.String)> -> <java.lang.Thread: java.lang.StackTraceElement[] getStackTrace()>
<java.lang.Thread: java.lang.StackTraceElement[] getStackTrace()> -> <java.lang.RuntimeException: void <init>(java.lang.String)>
<kotlin.jvm.internal.Intrinsics: java.lang.Throwable sanitizeStackTrace(java.lang.Throwable)> -> <java.lang.Class: java.lang.String getName()>
<java.lang.Class: java.lang.String getName()> -> <java.lang.RuntimeException: void <init>(java.lang.String)>
<kotlin.jvm.internal.Intrinsics: java.lang.Throwable sanitizeStackTrace(java.lang.Throwable,java.lang.String)> -> <java.lang.Throwable: java.lang.StackTraceElement[] getStackTrace()>
<kotlin.jvm.internal.Intrinsics: java.lang.Throwable sanitizeStackTrace(java.lang.Throwable,java.lang.String)> -> <java.lang.Throwable: void setStackTrace(java.lang.StackTraceElement[])>
<java.lang.Throwable: void setStackTrace(java.lang.StackTraceElement[])> -> <java.lang.RuntimeException: void <init>(java.lang.String)>
<java.lang.Throwable: java.lang.StackTraceElement[] getStackTrace()> -> <java.lang.RuntimeException: void <init>(java.lang.String)>
<kotlin.jvm.internal.Intrinsics: java.lang.String createParameterIsNullExceptionMessage(java.lang.String)> -> <java.lang.Class: java.lang.String getName()>
<kotlin.jvm.internal.Intrinsics: void throwParameterIsNullNPE(java.lang.String)> -> <java.lang.NullPointerException: void <init>(java.lang.String)>
<java.lang.NullPointerException: void <init>(java.lang.String)> -> <java.lang.RuntimeException: void <init>(java.lang.String)>
<java.lang.NullPointerException: void <init>(java.lang.String)> -> <java.lang.RuntimeException: void <init>()>
<java.lang.RuntimeException: void <init>()> -> <java.lang.RuntimeException: void <init>(java.lang.String)>
<java.lang.RuntimeException: void <init>()> -> <java.lang.Exception: void <init>()>
<androidx.lifecycle.Lifecycle$Event: void <clinit>()> -> <androidx.lifecycle.Lifecycle$Event$Companion: void <init>(kotlin.jvm.internal.DefaultConstructorMarker)>
<androidx.lifecycle.Lifecycle$Event$Companion: void <init>(kotlin.jvm.internal.DefaultConstructorMarker)> -> <androidx.lifecycle.Lifecycle$Event$Companion: void <init>()>
<androidx.lifecycle.Lifecycle$Event$Companion: void <init>()> -> <java.lang.Object: void <init>()>
<androidx.lifecycle.Lifecycle$Event: void <clinit>()> -> <androidx.lifecycle.Lifecycle$Event: void <init>(java.lang.String,int)>
<androidx.lifecycle.Lifecycle$Event: void <clinit>()> -> <androidx.lifecycle.Lifecycle$Event: void <init>(java.lang.String,int)>
<androidx.lifecycle.Lifecycle$Event: void <clinit>()> -> <androidx.lifecycle.Lifecycle$Event: void <init>(java.lang.String,int)>
<androidx.lifecycle.Lifecycle$Event: void <init>(java.lang.String,int)> -> <java.lang.Enum: void <init>(java.lang.String,int)>
<java.lang.Enum: void <init>(java.lang.String,int)> -> <java.lang.Enum: void finalize()>
<java.lang.Enum: void finalize()> -> <java.lang.RuntimeException: void <init>(java.lang.String)>
<java.lang.Enum: void <init>(java.lang.String,int)> -> <java.lang.RuntimeException: void <init>(java.lang.String)>
<java.lang.Enum: void <init>(java.lang.String,int)> -> <java.lang.Object: void <init>()>
<androidx.lifecycle.ReportFragment: void <clinit>()> -> <androidx.lifecycle.ReportFragment$Companion: void <init>(kotlin.jvm.internal.DefaultConstructorMarker)>
<androidx.lifecycle.ReportFragment$Companion: void <init>(kotlin.jvm.internal.DefaultConstructorMarker)> -> <androidx.lifecycle.ReportFragment$Companion: void <init>()>
<androidx.lifecycle.ReportFragment$Companion: void <init>()> -> <java.lang.Object: void <init>()>
<androidx.lifecycle.ReportFragment$LifecycleCallbacks: void onActivityPostResumed(android.app.Activity)> -> <androidx.lifecycle.ReportFragment$Companion: void dispatch$lifecycle_runtime_release(android.app.Activity,androidx.lifecycle.Lifecycle$Event)>
<androidx.lifecycle.ReportFragment$Companion: void dispatch$lifecycle_runtime_release(android.app.Activity,androidx.lifecycle.Lifecycle$Event)> -> <kotlin.jvm.internal.Intrinsics: void checkNotNullParameter(java.lang.Object,java.lang.String)>
<androidx.lifecycle.ReportFragment$Companion: void dispatch$lifecycle_runtime_release(android.app.Activity,androidx.lifecycle.Lifecycle$Event)> -> <androidx.activity.ComponentActivity: androidx.lifecycle.Lifecycle getLifecycle()>
<androidx.lifecycle.ReportFragment$LifecycleCallbacks: void onActivityPrePaused(android.app.Activity)> -> <androidx.lifecycle.ReportFragment$Companion: void dispatch$lifecycle_runtime_release(android.app.Activity,androidx.lifecycle.Lifecycle$Event)>
<androidx.lifecycle.ReportFragment$LifecycleCallbacks: void onActivityPostStarted(android.app.Activity)> -> <androidx.lifecycle.ReportFragment$Companion: void dispatch$lifecycle_runtime_release(android.app.Activity,androidx.lifecycle.Lifecycle$Event)>
<androidx.lifecycle.ReportFragment$LifecycleCallbacks: void onActivityPostCreated(android.app.Activity,android.os.Bundle)> -> <androidx.lifecycle.ReportFragment$Companion: void dispatch$lifecycle_runtime_release(android.app.Activity,androidx.lifecycle.Lifecycle$Event)>
<androidx.lifecycle.ReportFragment$LifecycleCallbacks: void onActivityPreDestroyed(android.app.Activity)> -> <androidx.lifecycle.ReportFragment$Companion: void dispatch$lifecycle_runtime_release(android.app.Activity,androidx.lifecycle.Lifecycle$Event)>
<androidx.lifecycle.ReportFragment$LifecycleCallbacks: void onActivityPreStopped(android.app.Activity)> -> <androidx.lifecycle.ReportFragment$Companion: void dispatch$lifecycle_runtime_release(android.app.Activity,androidx.lifecycle.Lifecycle$Event)>
<androidx.lifecycle.ReportFragment$LifecycleCallbacks: void <init>()> -> <java.lang.Object: void <init>()>
<dummyMainClass: com.example.notificationtest.MainActivity dummyMainMethod_com_example_notificationtest_MainActivity(android.content.Intent)> -> <androidx.fragment.app.FragmentStateManager$1: void <init>(androidx.fragment.app.FragmentStateManager,android.view.View)>
<dummyMainClass: com.example.notificationtest.MainActivity dummyMainMethod_com_example_notificationtest_MainActivity(android.content.Intent)> -> <androidx.fragment.app.FragmentStateManager$1: void onViewAttachedToWindow(android.view.View)>
<androidx.fragment.app.FragmentStateManager$1: void onViewAttachedToWindow(android.view.View)> -> <androidx.core.view.ViewCompat: void <clinit>()>
<androidx.fragment.app.FragmentStateManager$1: void onViewAttachedToWindow(android.view.View)> -> <androidx.core.view.ViewCompat: void requestApplyInsets(android.view.View)>
<androidx.core.view.ViewCompat: void requestApplyInsets(android.view.View)> -> <androidx.core.view.ViewCompat$Api20Impl: void requestApplyInsets(android.view.View)>
<androidx.core.view.ViewCompat: void <clinit>()> -> <androidx.core.view.ViewCompat$AccessibilityPaneVisibilityManager: void <init>()>
<androidx.core.view.ViewCompat$AccessibilityPaneVisibilityManager: void <init>()> -> <java.lang.Object: void <init>()>
<androidx.core.view.ViewCompat: void <clinit>()> -> <androidx.core.view.ViewCompat$$ExternalSyntheticLambda0: void <init>()>
<androidx.core.view.ViewCompat$$ExternalSyntheticLambda0: void <init>()> -> <java.lang.Object: void <init>()>
<androidx.fragment.app.FragmentStateManager$1: void <init>(androidx.fragment.app.FragmentStateManager,android.view.View)> -> <java.lang.Object: void <init>()>
<dummyMainClass: com.example.notificationtest.MainActivity dummyMainMethod_com_example_notificationtest_MainActivity(android.content.Intent)> -> <androidx.fragment.app.FragmentStateManager: void <init>(androidx.fragment.app.FragmentLifecycleCallbacksDispatcher,androidx.fragment.app.FragmentStore,androidx.fragment.app.Fragment)>
<androidx.fragment.app.FragmentStateManager: void <init>(androidx.fragment.app.FragmentLifecycleCallbacksDispatcher,androidx.fragment.app.FragmentStore,androidx.fragment.app.Fragment)> -> <java.lang.Object: void <init>()>
<dummyMainClass: com.example.notificationtest.MainActivity dummyMainMethod_com_example_notificationtest_MainActivity(android.content.Intent)> -> <androidx.fragment.app.Fragment: void <init>()>
<androidx.fragment.app.Fragment: void <init>()> -> <androidx.fragment.app.FragmentManager: void <clinit>()>
<androidx.fragment.app.Fragment: void <init>()> -> <androidx.lifecycle.LiveData: void <clinit>()>
<androidx.fragment.app.Fragment: void <init>()> -> <androidx.lifecycle.Lifecycle$State: void <clinit>()>
<androidx.lifecycle.Lifecycle$State: void <clinit>()> -> <androidx.lifecycle.Lifecycle$State: androidx.lifecycle.Lifecycle$State[] $values()>
<androidx.lifecycle.Lifecycle$State: void <clinit>()> -> <androidx.lifecycle.Lifecycle$State: void <init>(java.lang.String,int)>
<androidx.lifecycle.Lifecycle$State: void <clinit>()> -> <androidx.lifecycle.Lifecycle$State: void <init>(java.lang.String,int)>
<androidx.lifecycle.Lifecycle$State: void <init>(java.lang.String,int)> -> <java.lang.Enum: void <init>(java.lang.String,int)>
<androidx.lifecycle.LiveData: void <clinit>()> -> <java.lang.Object: void <init>()>
<androidx.fragment.app.Fragment: void <init>()> -> <androidx.lifecycle.MutableLiveData: void <init>()>
<androidx.lifecycle.MutableLiveData: void <init>()> -> <androidx.lifecycle.LiveData: void <init>()>
<androidx.lifecycle.LiveData: void <init>()> -> <androidx.lifecycle.LiveData: void <clinit>()>
<androidx.lifecycle.LiveData: void <init>()> -> <androidx.lifecycle.LiveData$1: void <init>(androidx.lifecycle.LiveData)>
<androidx.lifecycle.LiveData$1: void <init>(androidx.lifecycle.LiveData)> -> <java.lang.Object: void <init>()>
<androidx.lifecycle.LiveData: void <init>()> -> <androidx.arch.core.internal.SafeIterableMap: void <init>()>
<androidx.arch.core.internal.SafeIterableMap: void <init>()> -> <java.lang.Object: void <init>()>
<androidx.lifecycle.LiveData: void <init>()> -> <java.lang.Object: void <init>()>
<androidx.lifecycle.LiveData: void <init>()> -> <java.lang.Object: void <init>()>
<androidx.fragment.app.Fragment: void <init>()> -> <androidx.fragment.app.Fragment$1: void <init>(androidx.fragment.app.Fragment)>
